Address,Status geocode,Formatted address,Latitude,Longitude,Type,Location Type,Country,Region,Crop,Nitrogen - High,Nitrogen - Medium,Nitrogen - Low,Phosphorous - High,Phosphorous - Medium,Phosphorous - Low,Potassium - High,Potassium - Medium,Potassium - Low,pH - Acidic,pH - Neutral,pH - Alkaline, 
Ahilya nagar,Ok,"Ahilya Nagar, Maharashtra, India",19.0948287,74.7479789,"locality, political",APPROXIMATE,India,Maharashtra,"Sugarcane, Bajra (Pearl Millet), Wheat, Cotton, Groundnut, Onion, soyabean,potato",0.03%,3.55%,96.42%,74.02%,21.09%,4.89%,39.15%,42.81%,18.04%,0.11%,96.02%,3.87%,
Akola,Ok,"Akola, Maharashtra, India",20.7002159,77.0081678,"locality, political",APPROXIMATE,India,Maharashtra,"Cotton, Soybean, Jowar (Sorghum), Wheat, Tur (Pigeon Pea)",0.05%,0.28%,99.67%,68.52%,28.76%,2.72%,84.11%,14.74%,1.14%,0%,95.62%,4.38%,
Amravati,Ok,"Amravati, Maharashtra, India",20.9319821,77.7523039,"locality, political",APPROXIMATE,India,Maharashtra,"Cotton, Soybean, Jowar (Sorghum), Wheat, Tur (Pigeon Pea)",0.10%,0.87%,99.03%,9.76%,28.19%,62.05%,80.88%,6.25%,12.87%,13.44%,84.55%,2.01%,
"Chhatrapati Sambhaji Nagar, Maharashtra",Ok,"Chhatrapati Sambhaji Nagar, Maharashtra, India",19.875754,75.3393195,"locality, political",APPROXIMATE,India,Maharashtra,"Cotton, Bajra (Pearl Millet), Wheat, Sugarcane, Maize, Soybean",0.03%,1.91%,98.07%,61.51%,30.92%,7.57%,73.23%,24.86%,1.91%,0%,90.48%,9.52%,
"Beed, Maharashtra",Ok,"Beed, Maharashtra 431122, India",18.990088,75.7531324,"locality, political",APPROXIMATE,India,Maharashtra,"Cotton, Bajra (Pearl Millet), Wheat, Sugarcane, Soybean, Tur (Pigeon Pea)",2.19%,36.57%,61.25%,13.78%,75.24%,10.98%,52.74%,42.98%,4.28%,0.11%,90.24%,9.65%,
"Bhandara, Maharashtra",Ok,"Bhandara, Maharashtra, India",21.177658,79.6570127,"locality, political",APPROXIMATE,India,Maharashtra,"Rice, Wheat, Linseed, Tur (Pigeon Pea), Mustard",0.11%,5.25%,94.64%,0.43%,40.57%,59.00%,68.47%,29.89%,1.65%,6.27%,93.69%,0.03%,
"Buldhana, Maharashtra",Ok,"Buldhana, Maharashtra 443001, India",20.5292147,76.1841701,"locality, political",APPROXIMATE,India,Maharashtra,"Cotton, Soybean, Jowar (Sorghum), Wheat, Tur (Pigeon Pea)",0.02%,2.05%,97.93%,4.00%,52.71%,43.29%,95.28%,4.55%,0.17%,0.02%,99.38%,0.60%,
"Chandrapur, Maharashtra",Ok,"Chandrapur, Maharashtra, India",19.9615398,79.2961468,"locality, political",APPROXIMATE,India,Maharashtra,"Rice, Cotton, Soybean, Jowar (Sorghum), Tur (Pigeon Pea)",0.05%,9.13%,90.82%,9.60%,73.28%,17.12%,19.99%,79.57%,0.44%,0.33%,99.17%,0.50%,
"Dhule, Maharashtra",Ok,"Dhule, Maharashtra, India",20.9042201,74.7748979,"locality, political",APPROXIMATE,India,Maharashtra,"Cotton, Bajra (Pearl Millet), Wheat, Groundnut, Onion",0.04%,1.51%,98.45%,9.83%,87.10%,3.06%,97.59%,2.22%,0.19%,0.02%,99.93%,0.06%,
"Gadchiroli, Maharashtra",Ok,"Gadchiroli, Maharashtra 442605, India",20.184871,79.9947956,"locality, political",APPROXIMATE,India,Maharashtra,"Rice, Linseed, Mustard, Tur (Pigeon Pea)",0.04%,0.70%,99.26%,4.08%,62.33%,33.59%,2.81%,89.53%,7.66%,3.00%,96.65%,0.35%,
"Gondia, Maharashtra",Ok,"Gondia, Maharashtra, India",21.4549477,80.1960712,"locality, political",APPROXIMATE,India,Maharashtra,"Rice, Wheat, Linseed, Mustard, Tur (Pigeon Pea)",0%,7.65%,92.35%,15.81%,76.83%,7.35%,8.54%,91.42%,0.04%,0.09%,99.87%,0.04%,
"Hingoli, Maharashtra",Ok,"Hingoli, Maharashtra 431513, India",19.7114963,77.1453846,"locality, political",APPROXIMATE,India,Maharashtra,"Cotton, Soybean, Jowar (Sorghum), Wheat, Tur (Pigeon Pea)",0.11%,53.91%,45.98%,0.27%,82.47%,17.27%,71.92%,28.04%,0.05%,0.01%,99.99%,0%,
"Jalgaon, Maharashtra",Ok,"Jalgaon, Maharashtra, India",21.0076578,75.5626039,"locality, political",APPROXIMATE,India,Maharashtra,"Cotton, Banana, Wheat, Jowar (Sorghum), Groundnut",0.65%,4.94%,94.41%,15.84%,83.09%,1.07%,92.82%,6.79%,0.39%,0.04%,98.69%,1.27%,
"Jalna, Maharashtra",Ok,"Jalna, Maharashtra, India",19.8346659,75.8816345,"locality, political",APPROXIMATE,India,Maharashtra,"Cotton, Bajra (Pearl Millet), Wheat, Soybean, Tur (Pigeon Pea)",0.01%,5.16%,94.83%,8.15%,68.38%,23.47%,95.03%,4.94%,0.03%,0.02%,98.04%,1.94%,
"Kolhapur, Maharashtra",Ok,"Kolhapur, Maharashtra, India",16.7049873,74.2432527,"locality, political",APPROXIMATE,India,Maharashtra,"Sugarcane, Rice, Groundnut, Soybean, Jowar (Sorghum)",0.75%,50.07%,49.19%,96.74%,2.57%,0.69%,49.63%,45.13%,5.24%,34.20%,65.77%,0.03%,
"Latur, Maharashtra",Ok,"Latur, Maharashtra, India",18.4087934,76.5603828,"locality, political",APPROXIMATE,India,Maharashtra,"Soybean, Cotton, Jowar (Sorghum), Wheat, Tur (Pigeon Pea)",0.02%,0.40%,99.59%,0.75%,65.82%,33.43%,99.62%,0.32%,0.06%,0.05%,99.78%,0.17%,
"Mumbai City, Maharashtra","2 found, use single geocode.","Mumbai, Maharashtra, India",19.0759837,72.8776559,"locality, political",APPROXIMATE,India,Maharashtra,Urban area; minimal agricultural activity,,,,,,,,,,,,,
"Mumbai Suburban, Maharashtra",Ok,"Mumbai Suburban, Maharashtra, India",19.0759559,72.8776378,"administrative_area_level_3, political",APPROXIMATE,India,Maharashtra,Urban area; minimal agricultural activity,,,,,,,,,,,,,
"Nagpur, Maharashtra",Ok,"Nagpur, Maharashtra, India",21.1458004,79.0881546,"locality, political",APPROXIMATE,India,Maharashtra,"Cotton, Soybean, Jowar (Sorghum), Wheat, Tur (Pigeon Pea), Oranges",0.04%,3.82%,96.14%,8.12%,67.46%,24.42%,90.41%,9.34%,0.25%,0.04%,96.96%,3.00%,
"Nanded, Maharashtra",Ok,"Nanded, Maharashtra, India",19.1485289,77.3191471,"locality, political",APPROXIMATE,India,Maharashtra,"Cotton, Soybean, Jowar (Sorghum), Wheat, Tur (Pigeon Pea)",0.06%,1.44%,98.50%,20.26%,41.54%,38.19%,97.65%,1.22%,1.13%,0.18%,99.61%,0.21%,
"Nandurbar, Maharashtra",Ok,"Nandurbar, Maharashtra 425412, India",21.3700906,74.240336,"locality, political",APPROXIMATE,India,Maharashtra,"Cotton, Bajra (Pearl Millet), Wheat, Groundnut, Tur (Pigeon Pea)",0%,23.90%,76.10%,1.07%,98.85%,0.07%,6.00%,93.33%,0.67%,0%,99.90%,0.10%,
"Nashik, Maharashtra",Ok,"Nashik, Maharashtra, India",19.9974533,73.7898023,"locality, political",APPROXIMATE,India,Maharashtra,"Grapes, Onion, Pomegranate, Bajra (Pearl Millet), Wheat, Sugarcane",0.12%,28.23%,71.65%,10.90%,82.56%,6.54%,46.16%,52.83%,1.02%,0.14%,95.50%,4.36%,
"Dharashiv, Maharashtra",Ok,"Dharashiv (Osmanabad), Maharashtra 413501, India",18.185332,76.0419642,"locality, political",APPROXIMATE,India,Maharashtra,"Soybean, Cotton, Jowar (Sorghum), Wheat, Tur (Pigeon Pea)",0.06%,2.62%,97.32%,11.90%,10.26%,77.83%,78.90%,20.23%,0.86%,0.06%,99.42%,0.52%,
"Palghar, Maharashtra",Ok,"Palghar, Maharashtra 401404, India",19.6967136,72.769885,"locality, political",APPROXIMATE,India,Maharashtra,"Rice, Ragi (Finger Millet), Vegetables, Fruits like Chikoo (Sapota) and Mango",0.84%,4.02%,95.14%,86.17%,7.63%,6.20%,4.11%,15.46%,80.42%,7.70%,91.64%,0.66%,
